total_day_minutes,churn
232.1,false
242.9,false
114.4,false
281.0,false
222.8,false
191.5,false
132.0,false
97.5,false
288.1,false
217.7,false
70.7,false
172.4,false
174.4,false
107.9,false
187.0,false
209.4,true
169.6,false
256.2,false
197.1,false
180.9,false
144.6,false
78.6,true
189.3,false
211.7,false
275.8,true
221.1,false
231.5,false
189.7,false
202.0,true
175.5,false
183.6,false
158.7,false
134.4,true
214.8,false
126.0,false
288.1,true
55.3,false
147.2,false
174.4,false
216.2,false
171.2,false
158.6,false
191.4,false
199.2,false
202.4,false
179.1,false
193.1,false
141.7,false
226.7,false
131.6,false
206.2,false
212.8,false
159.5,false
194.3,false
184.5,false
237.8,false
175.6,false
188.9,false
259.7,false
137.8,true
240.2,false
134.9,false
54.0,false
187.9,false
135.2,false
161.9,false
247.5,true
133.4,false
119.3,false
140.4,false
143.9,false
252.6,false
218.9,false
168.4,false
59.5,false
256.4,true
156.1,false
159.3,false
100.1,false
265.6,true
271.4,true
131.6,true
183.0,false
251.5,false
154.7,false
137.1,false
241.7,false
131.4,true
208.8,false
117.1,false
236.6,true
133.4,false
149.2,false
138.5,false
162.3,false
142.4,false
150.0,false
54.7,false
146.7,false
109.8,false
237.9,true
159.7,true
194.8,false
112.2,true
242.2,true
189.1,true
287.1,true
149.0,false
214.6,false
154.4,false
245.2,true
234.9,true
155.4,false
234.2,false
164.8,false
264.8,true
198.3,false
285.7,true
124.3,false
162.3,true
195.0,false
18.9,false
226.7,true
255.3,false
123.8,false
124.3,false
192.1,false
172.8,true
161.5,false
135.4,false
103.0,false
207.7,false
140.4,false
196.0,false
275.2,false
174.0,false
149.3,true
89.5,true
145.1,false
179.4,false
108.6,true
279.3,true
256.4,true
110.9,false
214.0,false
131.5,true
159.1,true
209.9,false
206.4,false
257.1,true
190.7,false
190.2,false
239.2,false
209.5,false
270.9,true
117.6,false
229.3,false
213.6,false
61.9,false
143.2,true
223.0,false
147.9,false
141.7,false
157.4,false
182.7,false
139.6,false
184.5,false
143.5,false
193.7,false
92.8,false
159.6,false
231.2,true
225.1,true
135.7,true
187.6,false
186.8,false
180.9,false
255.1,true
200.2,false
170.9,false
241.1,false
170.4,false
181.4,false
261.4,false
57.5,false
231.8,false
195.4,false
97.6,false
172.1,false
153.8,false
188.9,false
116.1,false
193.3,true
193.7,false
184.5,false
278.5,true
182.3,false
175.4,false
249.8,true
159.9,true
197.0,false
169.3,false
226.9,true
268.4,false
109.4,false
133.3,false
201.1,false
271.6,false
240.8,false
163.4,true
85.7,true
124.9,false
169.8,false
135.0,false
168.3,false
198.3,false
203.8,false
122.4,false
127.9,false
227.4,false
205.7,false
195.3,false
160.4,false
232.8,false
165.0,true
153.6,false
150.3,false
96.5,true
197.6,false
224.6,false
147.1,false
150.8,false
140.0,false
228.9,false
196.6,false
150.0,false
146.7,false
235.5,false
86.3,false
145.0,true
99.4,false
159.5,false
216.0,false
215.6,false
136.1,false
111.0,false
253.2,false
260.2,false
159.5,false
210.7,false
300.4,false
162.8,false
166.9,false
243.2,false
245.2,false
235.1,true
0.0,false
82.3,false
209.4,false
276.5,true
147.2,false
190.3,false
244.1,false
199.6,false
231.3,false
160.2,false
251.5,false
169.6,false
264.3,false
98.2,false
175.6,false
242.5,false
123.1,false
182.3,false
166.8,false
239.9,false
176.4,false
157.4,false
178.4,false
221.3,false
197.1,false
159.7,false
115.7,false
198.1,false
194.2,false
181.8,false
156.0,false
98.2,false
182.2,false
247.2,true
90.5,false
139.3,true
184.4,false
240.0,true
193.4,false
224.4,false
160.1,false
83.0,false
250.2,true
192.8,false
172.3,false
231.3,false
226.3,false
130.5,false
227.4,false
144.0,false
167.8,false
190.6,false
263.4,false
206.1,false
190.1,false
171.2,false
190.9,false
175.9,false
91.9,false
167.5,false
256.5,false
208.9,false
189.8,false
149.4,false
105.0,false
227.2,false
185.0,false
106.6,false
337.4,true
217.2,false
224.7,false
104.7,false
110.9,false
174.7,true
217.6,false
245.7,true
181.1,false
186.9,false
161.4,false
187.2,false
177.3,false
63.2,false
198.2,false
185.0,false
326.5,true
83.6,false
230.2,false
102.0,false
160.6,false
164.2,false
103.3,false
169.4,false
161.9,false
228.2,false
244.8,false
205.1,false
134.2,false
122.8,false
93.8,false
133.7,true
83.2,false
252.4,false
259.4,true
245.2,false
225.0,false
211.8,false
286.4,true
27.0,false
245.3,true
279.5,true
204.6,false
265.2,false
153.2,false
174.5,false
206.9,false
131.7,false
115.6,false
121.5,false
263.4,false
153.7,false
207.9,false
205.2,false
126.7,false
267.8,true
287.1,true
103.4,false
145.9,true
103.7,false
268.1,false
92.6,false
168.6,false
242.6,false
